"","SOC","pH","Moisture","CEC","TP","TK","AK","AP","TN","NO3","NH4","MBC","MBN","DOC"
"S1.F.1.U",28.36678737,7.88,0.2934,14.02969878,0.36,13.48841853,194.5,2.51,1.052,20.03088038,27.8206672,177.8545262,52.08711805,284.8753544
"S2.F.U",69.79510936,8.13,0.1906,20.95748907,0.68,15.98442492,355.6,2.26,2.539,12.21199798,0.881027815,417.1785761,57.22394715,146.2220434
"S3.F.U",45.59631034,8.25,0.321,18.58156397,0.27,12.76978417,166.1,2.31,1.832,1.238023356,2.800479636,171.316553,53.21968092,166.2005405
"S4.F.U",14.67232063,8.91,0.1329,10.27185867,0.46,15.43443603,230.3,1.76,0.531,16.07248426,3.104108412,119.2299873,19.48564405,209.6927192
"S6.F.U",31.00648555,8.1,0.0876,14.33263661,0.07,16.17118915,279.8,11.86,1.647,5.685252518,1.065876084,347.8478142,6.438761652,611.699759
"S7.F.U",20.30263804,8.51,0.0964,10.20760201,0.01,11.21551379,108.2,1.06,0.786,3.077950322,1.918784933,145.3159789,4.736657662,91.28591906
"S9.F.U",49.48911902,7.99,0.1919,17.00611393,0.64,15.59,477.8,6.16,1.799,7.017045439,2.300397082,260.5262601,41.554945,112.2498423
"S10.F.U",25.79279686,8.15,0.1406,11.9859224,0.1,19.43222711,227.2,1.81,1.106,4.604929586,1.094999604,328.3984925,27.48449007,83.69446976
"S13.F.U",33.41704681,7.73,0.3306,17.51598561,0.2,12.98480608,391.4,1.86,1.653,26.32821215,0.638672568,739.7957243,87.66845446,119.1869457
"S14.F.U",26.68953577,8.23,0.1089,15.00404105,0.21,15.95893142,258.8,1.06,1.237,5.574801933,0.399214015,336.6212002,40.61337245,112.7735235
"S16.F.U",15.88326184,8.14,0.3359,3.968700499,0.24,16.38412445,198.7,7.91,0.537,9.214097037,0.587804137,201.6346314,18.33948909,122.9793129
"S18.F.U",13.83179077,8.29,0.2562,5.826849429,0.34,14.91210547,407.2,1.26,0.457,39.81897725,0.577865854,205.4634146,15.17525981,261.1149671
"S19.F.U",23.69143115,8.4,0.1316,14.03859752,0.21,16.82980423,180.8,1.11,1.135,7.725951728,1.369287789,197.056733,20.11608242,379.7974302
"S20.F.U",56.9306037,8.07,0.1392,17.41473808,0.25,15.55,412.5,1.86,2.186,26.84829614,2.734135185,491.0304265,70.26727427,178.2382727
"S21.F.U",34.34046597,8.4,0.0602,9.521544548,0.64,14.95811727,221.9,10.31,1.106,11.57412961,1.176792938,447.7231831,25.52898554,124.2269273
"S22.F.U",21.03839895,8.77,0.0553,4.542246355,0.44,14.17597765,89.2,0.26,0.523,12.62945263,2.237318635,175.702214,22.30564465,80.68699695
"S24.F.U",15.93845748,8.41,0.1673,5.937863576,0.27,15.81205108,114.5,0.21,0.391,3.090054163,3.665295434,119.6344129,3.044296335,140.0469697
"S25.F.U",22.02796629,8.28,0.085854047,8.073733196,0.28,16.01235552,158.7,3.46,0.644,7.20703048,3.040391331,169.2967109,17.8427537,77.37361596
"S26.F.U",25.59058107,8.25,0.080120652,12.1303393,0.46,17.01319472,182.9,1.31,0.855,6.423693543,2.592289565,209.6874226,20.56549722,92.82124837
"S27.F.U",35.19645603,7.7,0.379651958,18.15976946,0.12,14.30710863,231.4,2.11,1.251,6.97717588,29.45556929,409.1127938,43.04514108,55.87038567
"S29.F.U",35.24678383,8.25,0.1394,12.08450071,0.24,13.95974492,181.9,20.21,1.623,25.45166381,4.181706131,331.9031424,51.90329092,155.7098728
"S30.F.U",10.46459969,8.32,0.0291,7.654106855,0.32,14.97208931,210.3,1.36,0.562,1.27325763,4.373864313,59.46168478,7.590970159,93.7509514
"S31.F.U",20.23482248,8.39,0.214,8.69652009,0.26,11.19552179,74.5,1.51,0.534,4.573277009,16.94705538,236.967422,20.23934866,114.8126583
"S32.F.U",20.91000459,8.51,0.0753,7.665517271,0.02,11.25299282,125,5.81,0.814,3.781976501,4.311874721,76.46438963,12.52486702,140.4058238
"S37.F.U",11.70917979,8.77,0.1662,4.835254425,0.21,11.89572513,87.1,0.81,0.645,0.999680059,1.877607204,109.4687761,9.7588926,132.4074606
"S40.F.U",7.659537413,8.98,0.0335,6.675983334,0.68,15.05591054,124,0.46,0.394,0.348492056,1.973961525,95.6320627,2.331548272,90.13666405
"S41.F.U",17.39377187,8.9,0.1228,9.370613617,0.32,15.55133839,160.8,7.76,0.837,3.163016011,7.690848954,285.9274258,21.32329976,104.6135098
"S42.F.U",17.41664907,8.46,0.0318,8.835316978,0.6,15.06781013,101.9,4.36,0.748,2.071114835,6.025961856,208.8449794,5.266525567,88.5073466
