"","S1.F.1.U","S2.F.U","S3.F.U","S4.F.U","S6.F.U","S7.F.U","S9.F.U","S10.F.U","S13.F.U","S14.F.U","S16.F.U","S18.F.U","S19.F.U","S20.F.U","S21.F.U","S22.F.U","S24.F.U","S25.F.U","S26.F.U","S27.F.U","S29.F.U","S30.F.U","S31.F.U","S32.F.U","S37.F.U","S40.F.U","S41.F.U","S42.F.U"
"OTU_1",341,152,186,539,195,302,404,193,376,182,215,174,413,296,297,289,403,760,560,483,298,1177,602,728,759,2497,594,538
"OTU_2",5,9,9,6,2,34,12,14,6,15,110,6,50,48,42,68,10,4,6,9,6,222,122,5,138,101,6,14
"OTU_3",2,0,0,0,2,11,2,1,2,8,33,4,51,42,53,63,11,11,3,1,2,147,81,1,71,100,2,12
"OTU_4",0,2,14,2,0,3,1,1,47,38,1,9,10,57,20,7,93,146,65,152,81,3,75,70,56,112,95,240
"OTU_5",107,448,133,179,432,166,244,374,86,144,96,86,90,212,95,104,69,95,302,181,240,85,57,126,78,54,63,52
"OTU_6",1,5,5,5,4,8,4,5,2,3,10,6,4,3,5,8,9,20,6,4,6,116,20,14,6,72,23,5
"OTU_7",43,48,27,113,28,134,10,4,77,46,44,30,156,10,130,98,14,2,11,10,10,1,4,12,1,8,3,148
"OTU_8",1,1,2,61,0,0,0,0,6,6,3,0,2,3,4,3,20,17,6,4,3,43,36,44,39,50,12,23
"OTU_9",15,8,21,23,5,19,19,27,26,7,36,23,12,8,14,33,8,10,8,33,22,3,9,134,651,15,172,99
"OTU_10",61,79,78,58,37,31,47,58,52,58,94,52,49,41,34,78,8,50,36,58,85,13,51,55,262,28,164,39
"OTU_11",171,158,166,195,141,214,228,250,185,183,114,119,149,254,168,128,98,131,160,222,248,119,128,188,199,97,151,103
"OTU_12",1,0,4,0,0,1,0,1,0,1,1,1,4,0,0,3,0,0,1,0,0,95,95,0,3,2,1,0
"OTU_13",34,27,39,73,100,104,65,50,59,147,58,83,249,81,146,109,29,156,168,112,72,139,278,117,141,115,63,288
"OTU_14",62,65,75,70,114,70,112,109,69,79,53,69,70,109,73,64,59,65,75,62,83,36,27,72,38,32,40,41
"OTU_15",12,24,51,42,33,33,53,45,38,60,73,50,31,43,65,61,20,29,47,46,113,17,31,80,71,27,58,22
"OTU_16",57,84,70,94,112,71,84,68,66,83,49,24,65,89,86,83,50,78,75,80,99,235,184,170,177,298,156,106
"OTU_17",52,105,121,47,41,64,110,299,65,69,124,36,121,110,78,59,84,122,53,78,106,47,19,47,26,39,38,29
"OTU_18",58,153,36,104,71,41,75,80,83,30,124,45,91,69,23,67,49,161,110,64,56,152,198,87,76,95,190,71
"OTU_19",37,54,70,67,121,56,50,40,29,40,47,42,147,62,81,62,22,134,386,98,109,9,9,144,40,25,51,29
"OTU_20",25,37,13,50,43,56,37,62,46,52,33,12,32,33,44,70,44,176,49,45,54,156,203,77,152,239,103,51
"OTU_21",123,107,42,76,48,42,52,53,77,65,117,35,53,43,37,39,303,195,73,90,98,99,170,65,80,235,92,98
"OTU_22",40,34,37,59,28,14,32,29,49,26,90,27,11,11,10,41,13,28,15,8,41,15,15,50,137,19,170,27
"OTU_23",213,125,217,249,248,157,235,246,248,325,190,102,218,268,276,159,281,146,190,264,261,126,151,261,206,157,238,105
"OTU_24",0,1,4,0,0,8,4,1,1,1,2,3,15,1,14,7,49,80,1,0,1,3,26,10,3,0,0,18
"OTU_25",62,56,56,51,43,55,44,70,47,55,36,15,27,41,28,42,28,27,55,46,43,54,74,34,29,43,16,29
"OTU_26",150,111,129,132,128,131,119,86,174,110,49,67,93,140,101,89,43,57,127,101,121,83,72,63,39,97,98,113
"OTU_27",93,83,84,128,83,74,84,61,93,102,29,25,64,78,64,39,72,42,51,55,93,80,48,62,46,72,32,52
"OTU_28",44,17,38,52,32,109,80,24,87,61,11,61,20,56,46,31,9,27,36,63,58,48,41,48,37,33,34,31
"OTU_29",109,33,95,82,20,22,51,34,94,143,30,7,33,55,32,23,15,8,17,91,146,10,79,25,19,35,73,50
"OTU_30",12,1,9,14,2,5,38,22,48,8,45,562,11,12,21,47,21,35,11,14,34,37,52,58,42,14,33,10
"OTU_31",3,1,24,29,2,84,1,1,27,13,0,88,5,31,9,27,17,0,20,16,7,2,2,4,0,0,0,3
"OTU_32",85,66,107,96,59,116,136,119,98,101,69,64,73,76,70,46,75,60,48,65,79,80,49,71,48,64,55,69
"OTU_33",0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,2,0,0,0,90,116,0,9,1,0,0
"OTU_34",40,46,23,28,20,14,6,9,19,9,30,7,17,10,21,10,13,30,4,10,14,34,19,11,11,69,12,27
"OTU_35",278,87,144,134,122,78,89,39,102,126,111,44,85,48,127,50,128,92,96,64,38,92,91,38,32,254,75,272
"OTU_36",115,130,110,166,75,76,115,91,84,133,43,19,40,73,41,18,57,49,26,53,39,32,9,14,14,20,14,15
"OTU_37",16,35,22,29,55,23,22,36,18,21,39,42,61,57,36,69,37,51,58,33,16,55,40,47,47,35,40,26
"OTU_38",34,58,69,31,17,72,49,71,44,142,32,2,26,43,31,12,54,11,12,25,59,112,44,23,3,57,26,33
"OTU_39",4,9,15,6,2,12,20,9,24,6,37,56,62,13,30,62,17,12,8,12,6,12,15,29,58,18,71,28
"OTU_40",3,2,0,0,1,1,1,1,0,3,2,1,2,0,3,2,3,4,1,2,0,22,24,2,8,10,2,1
"OTU_41",26,27,14,34,17,33,36,34,25,20,26,12,30,22,22,31,27,33,37,34,41,40,52,88,60,22,45,28
"OTU_42",5,2,2,6,0,8,1,0,9,3,10,7,12,5,11,21,17,9,18,11,7,15,63,10,4,33,23,24
"OTU_43",4,33,13,15,18,25,19,23,12,20,30,6,28,37,13,10,23,30,20,12,20,28,7,24,22,16,17,13
"OTU_44",30,37,20,27,32,65,55,50,31,31,24,19,29,49,55,31,40,37,59,56,65,24,21,35,76,53,42,35
"OTU_45",33,54,35,62,110,54,56,74,51,41,85,45,67,68,60,28,45,97,54,65,62,57,20,114,67,38,61,45
"OTU_46",0,0,0,1,7,2,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_47",34,43,23,79,27,21,19,37,44,33,31,333,14,20,16,49,17,34,16,28,28,28,46,73,20,15,13,45
"OTU_48",23,11,40,25,40,27,26,15,26,51,11,22,25,56,37,46,3,45,23,107,91,24,42,88,36,12,16,21
"OTU_49",17,9,9,17,1,10,6,4,20,14,7,10,11,5,12,12,15,13,4,8,8,26,31,22,33,79,22,37
"OTU_50",6,6,5,4,0,2,0,0,1,4,4,8,15,3,14,1,4,10,27,67,52,1,14,7,1,3,1,4
"OTU_51",60,144,66,53,80,49,85,82,47,56,70,30,93,66,59,68,44,96,87,106,42,41,50,70,54,65,41,24
"OTU_52",15,20,36,52,32,14,25,6,25,30,25,9,23,44,20,41,3,11,19,52,77,27,84,31,70,25,64,27
"OTU_53",16,18,20,37,16,8,21,36,69,26,105,25,24,19,17,59,145,36,35,24,16,41,87,47,184,29,104,40
"OTU_54",43,30,31,51,84,77,33,33,37,62,34,21,61,75,70,24,199,120,70,53,37,17,18,28,19,26,21,54
"OTU_55",0,1,0,2,0,2,0,0,1,0,3,1,0,0,0,2,2,6,1,7,12,21,113,75,169,35,390,21
"OTU_56",0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,25,13,0,4,0,0,59,85,97,9,1,7,0
"OTU_57",70,58,109,96,171,98,93,89,84,247,71,66,233,210,302,134,105,195,142,141,108,120,41,167,69,61,109,68
"OTU_58",9,7,5,13,2,17,16,17,4,7,14,6,15,11,7,12,12,15,11,24,1,42,60,30,31,10,19,13
"OTU_59",24,14,18,27,34,66,39,27,34,32,11,14,29,24,62,37,20,14,12,18,21,3,6,12,11,18,14,12
"OTU_60",123,78,80,60,80,38,81,50,44,49,33,14,50,81,36,17,6,22,33,49,24,39,23,36,18,56,36,36
"OTU_61",18,28,13,16,27,22,22,39,20,41,32,22,37,43,20,36,361,90,27,33,35,14,7,24,129,45,150,38
"OTU_62",24,34,41,37,120,46,43,57,51,216,35,49,96,187,191,62,52,81,122,121,129,32,39,112,64,119,106,89
