"","Kindom","Phylum","Class","Order","Family","Genus","Species"
"OTU_1","Bacteria","Actinobacteria","unidentified_Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Pseudarthrobacter_oxydans"
"OTU_2","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_leidyi"
"OTU_3","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia",""
"OTU_4","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","",""
"OTU_5","Bacteria","Actinobacteria","unidentified_Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus",""
"OTU_6","Bacteria","Actinobacteria","unidentified_Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus_erythropolis"
"OTU_7","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Thiobacillus",""
"OTU_8","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas\_sp.\_c1"
"OTU_9","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",""
"OTU_10","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","",""
"OTU_11","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_12","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Sphingobium_yanoikuyae"
"OTU_13","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_14","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfurellales","Desulfurellaceae","H16",""
"OTU_15","Bacteria","Gemmatimonadetes","AKAU4049","","","",""
"OTU_16","Bacteria","Actinobacteria","unidentified_Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",""
"OTU_17","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","JG30-KF-CM45","","",""
"OTU_18","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella",""
"OTU_19","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira",""
"OTU_20","Bacteria","Actinobacteria","unidentified_Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",""
"OTU_21","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","",""
"OTU_22","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Pseudoxanthomonas_dokdonensis"
"OTU_23","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_24","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_decolorationis"
